Last Name,First Name,GPA,Selected Partner?,Project 1,Project 2,Project 3,Project 4,Project 6,Project 7,Project 8,Project 9,Project 10,Project 11,Project 12,Project 13,Project 14,Project 15,Project 16,Project 17,Project 18,Project 19,Project 20,Project 21,Project 22,Project 23,Project 24,Project 25,Project 26,Project 27,Project 28,Partner Last,Partner First,Partner GPA,User Major,Partner Major
last_name_0,first_name_0,3.92,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,3,5,5,0,1,0,3,,,,Nondegree (Exchange),
last_name_1,first_name_1,3.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,5,3,0,0,0,5,1,,,,Mechanical Engineering,
last_name_2,first_name_2,3.88,1,1,0,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,1,partner_last_name_0,partner_first_name_0,3.75,Mechanical Engineering,Mechanical Engineering
last_name_3,first_name_3,3.27,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,5,5,5,2,0,0,0,0,0,,,,Engineering Mechanics,
last_name_4,first_name_4,3.63,0,2,0,0,4,0,0,5,3,2,0,3,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,,,,Mechanical Engineering,
last_name_5,first_name_5,3.2,1,0,0,3,0,2,0,0,0,0,2,3,0,2,0,0,2,0,0,0,0,4,0,0,0,2,0,5,partner_last_name_1,partner_first_name_1,3.21,Mechanical Engineering,Mechanical Engineering
last_name_6,first_name_6,3.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,4,0,0,0,5,0,5,0,4,,,,Nondegree (Exchange),
last_name_7,first_name_7,3.58,1,0,0,1,0,2,0,1,0,0,0,3,5,0,0,0,0,0,0,1,2,0,0,0,5,3,0,2,partner_last_name_2,partner_first_name_2,3.6,Mechanical Engineering,Mechanical Engineering
last_name_8,first_name_8,3.51,0,0,0,0,3,0,0,0,0,0,0,5,4,5,0,0,1,0,0,0,0,0,0,3,0,0,1,0,,,,Mechanical Engineering,
last_name_9,first_name_9,3.6,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,4,4,partner_last_name_3,partner_first_name_3,3.09,Mechanical Engineering,Mechanical Engineering
last_name_10,first_name_10,2.77,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,4,2,4,0,2,0,0,0,0,,,,Mechanical Engineering,
last_name_11,first_name_11,2.96,1,2,0,0,0,4,0,0,0,0,4,0,4,0,0,1,0,0,0,5,0,3,0,0,0,0,0,2,partner_last_name_4,partner_first_name_4,3.95,Mechanical Engineering,Mechanical Engineering
last_name_12,first_name_12,3.73,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,5,0,2,0,0,5,0,partner_last_name_5,partner_first_name_5,3.38,Mechanical Engineering,Mechanical Engineering
last_name_13,first_name_13,3.81,0,2,1,0,0,5,0,5,0,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,Engineering Mechanics,
last_name_14,first_name_14,2.27,0,2,0,2,0,0,0,0,0,2,0,5,2,0,0,0,0,3,2,0,0,0,1,3,1,0,0,2,,,,Mechanical Engineering,
last_name_15,first_name_15,3.72,0,0,0,3,0,0,5,0,0,4,5,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,1,,,,Engineering Mechanics,
last_name_16,first_name_16,3.23,0,0,0,1,0,2,0,0,0,3,0,0,2,0,0,0,0,4,2,4,0,0,0,4,0,0,0,3,,,,Mechanical Engineering,
last_name_17,first_name_17,3.91,0,1,4,2,0,2,3,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,3,0,0,,,,Engineering Mechanics,
last_name_18,first_name_18,3.14,1,0,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,4,1,5,1,2,0,0,0,0,partner_last_name_6,partner_first_name_6,3.27,Mechanical Engineering,Mechanical Engineering
last_name_19,first_name_19,3.42,0,0,3,0,4,3,0,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,0,3,0,0,0,0,,,,Mechanical Engineering,
last_name_20,first_name_20,3.84,0,0,0,3,0,2,0,0,0,0,0,4,0,4,1,0,0,0,0,3,2,3,0,0,0,0,0,0,,,,Mechanical Engineering,
last_name_21,first_name_21,3.06,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,3,5,0,0,0,5,0,0,partner_last_name_7,partner_first_name_7,2.96,Mechanical Engineering,Mechanical Engineering
last_name_22,first_name_22,2.75,1,0,0,0,2,0,0,0,0,2,0,0,0,1,3,0,10,0,0,2,0,3,0,0,0,0,2,0,partner_last_name_8,partner_first_name_8,3.33,Mechanical Engineering,Mechanical Engineering
last_name_23,first_name_23,3.61,0,0,2,2,3,0,0,0,4,0,1,5,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,,Nondegree (Exchange),
last_name_24,first_name_24,3.27,0,0,2,2,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,,,,Mechanical Engineering,
last_name_25,first_name_25,3.56,0,1,0,0,0,5,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,2,1,4,0,0,4,1,,,,Mechanical Engineering,
last_name_26,first_name_26,3.73,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,1,2,3,0,2,0,0,5,0,4,0,0,,,,Nondegree (Exchange),
last_name_27,first_name_27,3.76,0,0,4,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,4,4,3,,,,Mechanical Engineering,
last_name_28,first_name_28,3.34,1,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,4,4,5,partner_last_name_9,partner_first_name_9,2.65,Mechanical Engineering,Mechanical Engineering
